Filename;newFilename;Path;Title;Text_English;Language ;Pictorial_verbopictorial;Name_of_the_creator;Longitude;Latitude;Additional_info;Mode_of_construction;Function;Channels_of_circulation
IMG00021.jpg;IMG00021_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00021.jpg"" />";SMEs and Malls;They have closed us. The malls are multiplied.;GR;verbopictorial;Bleeps.gr;23.72134; 37.97819;;spraypaint / marker pen;social, political;public wall
IMG00022.jpg;IMG00022_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00022.jpg"" />";The Greek beggar;no..Yes! Spare me for a change!;EN;verbopictorial;Bleeps.gr;23.72689; 37.98278;;spraypaint / marker pen;social;public wall
IMG00001.jpg;IMG00001_2014.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2014\IMG00001.jpg"" />";Political parties;All the parties are the same…The same applies to me…;GR;verbopictorial;Bleeps.gr;23.72884; 37.97490;;stencil, marker pen;social, political;public wall
IMG00002.jpg;IMG00002_2014.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2014\IMG00002.jpg"" />";The monster of capitalism;Always hungry;EN;verbopictorial;Unknown;23.71597; 37.98098;;spraypaint / marker pen;social, political;public wall
IMG00003.jpg;IMG00003_2014.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2014\IMG00003.jpg"" />";Antifascism;Antifa;EN;verbopictorial;Unknown;23.72268; 37.99167;;spraypaint / marker pen;social, political;public wall
IMG00004.jpg;IMG00004_2014.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2014\IMG00004.jpg"" />";Hymn of Liberty;I won’t pay, I won’t pay, hail, liberty, hail;GR;verbopictorial;NSK;23.74231; 37.98817;National Anthem of Greece (Solomos 1823), I (We) won’t pay, I (We) won’t pay (Dario Fo mid-1970).;stencil;social, political;public wall
IMG00005.jpg;IMG00005_2014.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2014\IMG00005.jpg"" />";EU Empire;Xmass in the EU empire;EN;verbopictorial;Bleeps.gr;23.72667; 37.97813;It could be a voice for the women's activist movement against EU.;spraypaint / marker pen;social, aesthetic, political;public wall
IMG00001.jpg;IMG00001_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00001.jpg"" />";The tired old man;Do not underestimate the hunger;GR;verbopictorial;Unknown;23.73330; 37.98654;The physical expression of the space becomes part of the meaning of the picture.;spraypaint / marker pen;social, political;public wall
IMG00002.jpg;IMG00002_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00002.jpg"" />";The lost child;We are living in a lost generation - nonending adventurous;GR;verbopictorial;Unknown;23.73514; 37.98631;;spraypaint / marker pen;social, political;public wall
IMG00003.jpg;IMG00003_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00003.jpg"" />";Fight austerity;Enough! Enough!;GR;verbopictorial;Unknown;23.73546; 37.98921;;spraypaint / marker pen;social, political;public wall
IMG00004.jpg;IMG00004_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00004.jpg"" />";The cage;Escape is goona Exit;EN;verbopictorial;EXIT;23.73244; 37.98487;;spraypaint / marker pen;social, political;steel door
IMG00005.jpg;IMG00005_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00005.jpg"" />";Subverted praying hands;;;pictorial;Pavlos Tsakonas, Manolis Anastasakos, Kretsis crew;23.72589; 37.98325;German artist Albrecht Dürer (1508). The work depicts praying hands and was created during collaboration between the Ministry of Environment Energy & Climate Change, and the Athens School of Fine Arts. ;spraypaint / marker pen;social, political;public wall
IMG00006.jpg;IMG00006_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00006.jpg"" />";Money control;From ancient to Modern Times. Who controls money?;EN;verbopictorial;Ore;23.73407; 37.98576;;spray paint, stencil;social, political;public wall
IMG00007.jpg;IMG00007_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00007.jpg"" />";GREXIT - Tsolias Euro Thrower;;;pictorial;Absent, Carpe Diem;23.73490; 37.98777;;stencil;social, political;public wall
IMG00008.jpg;IMG00008_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00008.jpg"" />";Future of Greece?;Future They say;EN;verbopictorial;Unknown;23.72888; 37.97442; ;stencil, marker pen;social, political;public wall
